130	0
131	0
132	0
133	1
134	8
135	1
136	4
137	3
138	4
140	7
141	25
142	13
143	8
144	15
145	10
146	18
147	35
148	58
149	62
150	69
151	51
152	34
153	22
154	21
155	37
156	19
157	19
158	24
159	13
160	8
161	13
162	9
163	10
164	28
165	32
166	46
167	52
168	32
169	32
170	44
171	59
172	60
173	67
174	72
175	129
176	162
177	149
178	92
179	82
180	63
181	77
182	117
183	134
184	77
185	40
186	32
187	10
188	18
189	13
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	2
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	1
209	0
210	0
211	5
212	0
213	0
214	0
215	0
216	0
217	2
218	0
219	0
220	0
221	0
222	1
223	6
224	2
225	0
226	0
227	0
228	0
229	0
230	0
231	0
232	0
233	3
234	0
235	1
236	4
237	1
238	2
239	0
240	0

